language,polarity,rating,source,text,time,wordsCount,details
en,10,0,Foursquare,Shockingly Good! Oh mein Gott...,2012-10-30,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f02f
en,5,0,Foursquare,Best in town - try the dada-Teller!,2012-12-19,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f030
en,0,0,Foursquare,"Half empty restaurant at midday, but waited for 20 min with no service.",2012-12-28,12,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f031
en,5,0,Foursquare,Try the Dada plate with meat (via @Foodspotting),2012-12-31,8,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f032
en,5,0,Foursquare,Get the dada plate.,2013-02-02,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f033
en,5,0,Foursquare,Try the Dada plate with meat - Delicious! (via @Foodspotting),2013-03-12,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f034
en,10,0,Foursquare,"The best Falafel ever!!! Great atmosphare, friendly service and great tastes. Order the dada-plate...",2013-03-29,14,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f035
en,5,0,Foursquare,try the beef schawarma!,2013-04-17,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f036
en,10,0,Foursquare,One of the most authentic Berlin's cafes. Tasty humus plates and delicious  halumi sandwiches.,2013-04-21,14,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f037
en,10,0,Foursquare,"Fresh and tasty food. Highlights are delicious Falafel, marvellous Halloumi and excellent hot sauce.",2013-05-12,14,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f03a
en,5,0,Foursquare,I like it but it is tooooo slow. Definitely you need some free time to eat here.,2013-05-18,17,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f03b
en,5,0,Foursquare,If you looking for some Mexican food so try this,2009-09-09,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f044
en,5,0,Foursquare,Great al a cart breakfast.,2010-10-23,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f045
en,0,0,Foursquare,Really slow service and mediocre food. :(,2011-08-18,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f047
en,10,0,Foursquare,great brunch,2011-09-19,2,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f048
en,5,0,Foursquare,Great brunch - consider placing a reservation.,2011-10-30,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f049
en,10,0,Foursquare,Good brunch but make sure you have a reservation. Rather crowded...,2011-11-13,11,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04a
en,10,0,Foursquare,Please try the grilled corn with butter. Simply delicious!,2012-01-06,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04b
en,0,0,Foursquare,"My food came half cold and even though not too bad in taste, I've had better. For me this place is really overhyped.",2012-02-14,23,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04c
en,5,0,Foursquare,"Yes, and they take too long to bring food on the table, we were starving...",2012-02-14,15,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04d
en,5,0,Foursquare,Wild flowers along the bar and Frida Kahlo paintings,2012-02-23,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04e
en,8,0,Foursquare,"Pros: good food. Cons: overpriced beer and sometimes, slow service. Recommended nevertheless.",2012-06-08,12,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f04f
en,10,0,Foursquare,"Good brunch for 8,90€ !",2012-06-17,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f050
en,5,0,Foursquare,"They don't do cocktails before 6pm, so if you're planning on a Bloody Mary for brunch go someplace else.",2012-09-01,19,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f052
en,5,0,Foursquare,Not so good. Doesn't worth the price. Tasteless guacamole.,2013-01-01,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f055
en,10,0,Foursquare,good brunch on sundays but overpriced beer.,2013-02-10,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f056
en,10,0,Foursquare,The Fajitas con pollo are really good. San Miguel beer in the right temperature. Helado de naranja for dessert sounds promising.,2013-04-26,21,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f05a
en,5,0,Foursquare,The Orange Ice Cream comes inside a real frozen orange resting on a bed of chantily. Flavour is exquisite. Save room for this dessert.,2013-04-26,24,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f05b
en,5,0,Foursquare,The food is delectable but takes forever to arrive!,2013-08-16,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f05c
en,10,0,Foursquare,Wait for a dry uncooked meat salad for an over hour and get a cappuccino for free!,2013-08-16,17,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f05d
en,5,0,Foursquare,No toilet at all(,2011-01-06,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f060
en,5,0,Foursquare,Feed the little birds who allways fly in a donut.,2011-07-27,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f061
en,5,0,Foursquare,Find a toilet in the cinema beside dunkin.,2011-09-03,8,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f062
en,5,0,Foursquare,No toilet and no wifi :/,2012-09-22,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f064
en,5,0,Foursquare,Banana iced coffee...,2013-04-25,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f065
en,0,0,Foursquare,A must: Burger - Down under - Cheese on top,2011-02-26,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f06a
en,5,0,Foursquare,Better stay away,2011-08-11,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f06c
en,5,0,Foursquare,"Food okee, service slow!",2011-09-06,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f06d
en,0,0,Foursquare,"Verry bad service, food is slow! Average food quality for what you pay, won't see me again here!",2011-09-07,18,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f06e
en,10,0,Foursquare,Incredibly grumpy staff - even for Berlin.,2012-01-13,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f073
en,10,0,Foursquare,Beer is cheaper than soda and water. Makes the decision easy!,2012-06-13,11,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f077
en,5,0,Foursquare,"A year later, food has improved but still  served like fast food. Sevice is even worse than before. Why did i come here again, i dont know. Never Again!",2012-08-16,29,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f07a
en,0,0,Foursquare,Although I really like the ambience and style of this restaurant it's a bit too loud to have a serious conversation. :(,2012-09-15,21,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f07e
en,10,0,Foursquare,Service was definitely nice compared to what the other tips made me believe. Food was served quite fast and the price is definitely not abusive for such a touristic place.,2012-11-15,30,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f07f
en,10,0,Foursquare,Try the kangroo meat just for the sake of it. You will be pleasantly suprised.,2013-03-08,15,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f080
en,9,0,Foursquare,"Delicious food and amazing location! Other than many negative tips, waiting time was okay, and the staff was nice and friendly! The prices are a little bit higher than expected.",2013-03-24,30,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f082
en,5,0,Foursquare,Smoothies sind genial.,2013-05-05,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f083
en,0,0,Foursquare,Toilet was unusable. Waited for waiter to pay for almost 10 minutes. Considering the prices I expected just little bit more.,2013-09-11,20,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f087
en,10,0,Foursquare,Wonderful view of the Sony Center!,2013-09-22,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f088
en,10,0,Foursquare,You should definately visit the Times Bar for a delicous cocktail and a fine cuban cigar!,2010-03-12,16,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f09b
en,10,0,Foursquare,if you wanna hang arround an enjoy a cigar...do not miss it!definetely worth a visit,2010-04-21,17,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f09c
en,5,0,Foursquare,"the cigar humidor is operated by Zigarren Herzog, which is a plus...",2010-06-10,12,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f09d
en,5,0,Foursquare,One of my favorite hotels in Berlin just because of the old-school style.,2013-01-24,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f0a0
en,10,0,Foursquare,Nice rooms. Free wifi in the hall near the reception desk,2010-08-26,11,http://tour-pedia.org/api/getReviewDetails?id=52a74ccbae9eef5a5067f11f
en,10,0,Foursquare,"Very Nice hotel close to public transport, great value for money",2011-04-22,11,http://tour-pedia.org/api/getReviewDetails?id=52a74ccbae9eef5a5067f121
en,5,0,Foursquare,Nice hotel!! Yummy breakfast :) wifi in the room arround 5€,2013-03-10,9,http://tour-pedia.org/api/getReviewDetails?id=52a74ccbae9eef5a5067f123
en,10,0,Foursquare,"I have been to a reading at the Bleibtreu, they do host authors from all over the world which is quite interesting!",2010-03-18,22,http://tour-pedia.org/api/getReviewDetails?id=52a74cccae9eef5a5067f16f
en,10,0,Foursquare,"Very comfy, very convenient, lovely staff. Ask for an extra pillow and a bigger towel, otherwise perfect.",2010-10-27,17,http://tour-pedia.org/api/getReviewDetails?id=52a74cccae9eef5a5067f171
en,10,0,Foursquare,"Perfect, lovely and very extraordinary hotel! Will return next year. Breakfast is wonderful!",2011-05-17,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cccae9eef5a5067f172
en,5,0,Foursquare,"This Hotel has some of the largest rooms in Berlin. Impeccable service and exquisite design. Book a room on the ""Club Etoille"" Floor for acces to the lounge. Drinks, breakfast, snacks and privacy!",2010-05-02,33,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d2
en,10,0,Foursquare,Impeccable Porterage service and fantastic hot chocolate.,2010-07-05,7,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d3
en,10,0,Foursquare,Free WiFi for guests,2010-08-27,4,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d4
en,10,0,Foursquare,"If you want WiFi in your room, don't forget to ask the front desk for a router. Also, you must go to the bar and order the Concumbre cocktail. Absolutely delicious!",2011-05-16,31,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d6
en,10,0,Foursquare,Just a great hotel with perfect service and very good confort. Fantastic stay!!!,2011-07-20,13,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d7
en,5,0,Foursquare,Simply greate,2011-07-22,2,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d8
en,10,0,Foursquare,Nice hotel with attentive service and great rooms. Upgrade to executive!,2011-07-29,11,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3d9
en,10,0,Foursquare,5-star hotel with big rooms and good service. It worth the money you pay.,2011-08-29,14,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3da
en,5,0,Foursquare,You can rent Segways from reception!!,2011-08-31,6,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3db
en,10,0,Foursquare,The delicious breakfast buffet at The Saint Germain restaurant provides ample fuel for a day of sightseeing. Cap the day off or start the evening with a quiet drink in the luxurious Lutèce Bar.,2011-10-26,35,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3dc
en,10,0,Foursquare,"#BNM approved...free wifi, great single malt scotch selection + cool bar staff",2011-12-08,12,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3dd
en,5,0,Foursquare,"Easy to get to by underground, bus and taxi from local airports",2012-01-26,12,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3de
en,10,0,Foursquare,"Ask for the foursquare checking special at the reception,you'll receive one glass of champagne for free! :D",2012-02-24,18,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3df
en,10,0,Foursquare,Ask for the foursquare Special at the receptionand you'll one glass of champagne for free! :D,2012-02-24,16,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3e0
en,10,0,Foursquare,The hotel's Brasserie Le Faubourg serves excellent French dishes with Mediterranean flavors. A definite must-try.,2012-04-24,15,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3e3
en,10,0,Foursquare,Indulge in traditional French cuisine with Mediterranean accent at the brasserie. Al fresco dining can be enjoyed during the summer months.,2012-06-20,21,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3e5
en,10,0,Foursquare,Just a wonderful hotel,2012-07-15,4,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3e6
en,10,0,Foursquare,"Large rooms, comfortable beds, all you could ever want at the breakfast buffet. All in all, a great hotel.",2012-10-18,19,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3e9
en,10,0,Foursquare,"Spacious rooms, two-sink bathrooms, a reliable free wifi and a great breakfast setup just to mention a few of several pluses. A stay in this hotel is highly recommendable!",2012-12-13,29,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3ea
en,10,0,Foursquare,"Really good for events/conferences and great location.  Wi-fi, staff and restaurant food impecable. True 5 star.",2013-06-13,16,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3ec
en,10,0,Foursquare,"Excellent, comfy rooms, good food and location.",2013-09-24,7,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3ed
en,10,0,Foursquare,Good place for shopping,2013-10-16,4,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3ee
en,10,0,Foursquare,"My Deluxe room was really huge and comfortable in nice modern design. Staff and location was wonderful too. Great breakfast and nice SPA with sauna, solarium and plunge pool. Definitely recommend it.",2013-10-30,32,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f3ef
en,5,0,Foursquare,order the Spezi. It's a must!,2009-11-05,6,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f407
en,10,0,Foursquare,"Try the Wiener Schnitzel. Not a bargain, but sometimes it's awesome.",2009-11-09,11,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f408
en,10,0,Foursquare,"Very interesting starter créme brûlée with cheese, horse radish, and maybe cauliflower. Schnitzel very tasty too.",2009-12-30,19,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f40a
en,5,0,Foursquare,Almost my second home. ;-),2010-03-13,5,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f40d
en,10,0,Foursquare,The schnitzels are perhaps basic but truly tasty. Highly recommended.,2010-08-01,10,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f40e
en,10,0,Foursquare,"Friendly place to eat, to have a beer or just a cup of coffee!",2010-10-15,14,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f410
en,5,0,Foursquare,"Nice spot to drink something (always crowded but not too much). Soups Are tasty, try the Smoked pork (w/ Potatoes salad). Interiors Are old-fashioned as ""required"" :)",2011-04-24,26,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f412
en,10,0,Foursquare,Great food and worth the trek from other side of Berlin (and planet).,2011-08-31,13,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f414
en,0,0,Foursquare,Go for the Schnitzel with Bearkartoffeln and a Tannenzäpfle beer. You won't regret it.,2012-02-16,15,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f416
en,5,0,Foursquare,Great food. The service was really friendly. Is so popular that you might need to wait a bit to get a table,2012-04-15,22,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f417
en,10,0,Foursquare,"Excellent food, feels authentic #accesspass",2012-11-23,5,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f41e
en,5,0,Foursquare,"Was initially feeling disappointed as only two (very similar) vegetarian options. However, I had pasta parcels with onion and potato salad and it tasted divine! Meat options are probably even better!",2012-12-04,31,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f420
en,9,0,Foursquare,"Crowded, but with a great atmosphere and good service. The veggie options are amazing, and their crepes are the best I ever had.",2012-12-31,23,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f421
en,8,0,Foursquare,"Very nice atmosphere and gorgeous, tasty food. Wines are a bit expensive. Comfy sofas and tables should be booked in advance. Just the right place after a long day at work.",2013-01-10,31,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f422
en,10,0,Foursquare,I come here regularly with people visiting ... have been since 2007 :) like them a lot,2013-01-27,14,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f423
en,5,0,Foursquare,"Bad music, good Käsespätzle <-- pick two",2013-02-11,9,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f424
en,8,0,Foursquare,"Popular so you might need to book. We were lucky to get a table at around 7:30, staff were really friendly. Try the Kaesespaetzle and Rothaus Weizen!",2013-04-20,26,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f426
en,5,0,Foursquare,"Awesome!!! Wiener Schnitzel was perfect with potatoes salad.. The ""various starters"" option at the menu was an  unforgettable choice!!!",2013-05-13,19,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f428
en,10,0,Foursquare,"The menu is seasonal, so there are always new things to try, but the classics like Flammkuchen, a kind of thin German pizza, or Maultaschen, a type of large ravioli filled with meat or vegetables,",2013-08-02,35,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f42b
en,10,0,Foursquare,"The place is popular; for groups,  it's a good thing do book in advance. It is possible to eat at the tables inside and outside, but also directly at the counter. Staff are friendly and helpful.",2013-08-13,36,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f42c
en,10,0,Foursquare,"Giant dishes, but not expensive. Try all types of Rothaus beer.",2013-08-13,11,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f42d
en,10,0,Foursquare,Ask for Nina for your waittress.  She is awesome.,2013-09-09,9,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f430
en,5,0,Foursquare,"If you've had a little to drink, and must take a piss watch the 4th and 5th steps: they are a little springy: potential head injury  Achtung!",2013-09-15,27,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f431
en,10,0,Foursquare,"Very nice hotel, good breakfast buffet, really nice rooms and very good price!",2013-08-09,13,http://tour-pedia.org/api/getReviewDetails?id=52a74ccfae9eef5a5067f436
en,10,0,Foursquare,The salmon pizza is delicious. Get a seat in the serviced area on the terrace.,2010-10-10,15,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f469
en,5,0,Foursquare,Don't sit next to an Irish stag crew...,2011-04-17,8,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f46a
en,10,0,Foursquare,"lots of space, little pond, nice café, perfect spot!",2011-06-06,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f46c
en,10,0,Foursquare,"The location is simply stunning. You don't have to like the food or the service (which are anyway ok), just come here!",2011-08-01,22,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f46e
en,5,0,Foursquare,Get a Boat to Explore the lake!,2011-08-02,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f46f
en,5,0,Foursquare,Must have been place in the middle of the green heart of Berlin,2011-09-13,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cd0ae9eef5a5067f470
